Category,Message
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
spam,"Congratulations! You have won 50,000 rupees. Click here: http://bit.ly/win-now"
spam,"Claim your cashback of 50,000 rupees. Link: http://offer-today.xyz"
spam,"Exclusive offer! Get flat 80% discount: 50,000"
ham,"I'm on the way, will reach in 2 minutes."
ham,I sent you the notes. Check WhatsApp.
ham,Where are you now?
ham,Lunch at canteen at 5?
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://click-free-prize.com"
spam,"Earn 50,000 per day working from home. Register at http://secure-verify.net"
spam,"Win a brand new smartphone! Register here: 5,000"
ham,"Bro, what time is the lab tomorrow?"
ham,I'll call you in 4 minutes.
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
ham,Are you coming to college today?
spam,"Congratulations! You have won 10,000 rupees. Click here: http://click-free-prize.com"
ham,I sent you the notes. Check WhatsApp.
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
ham,Can you share today's attendance code?
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
ham,"Bro, what time is the lab tomorrow?"
ham,"Bro, what time is the lab tomorrow?"
spam,"Your ATM card is blocked. Update details here: 5,000"
spam,"Exclusive offer! Get flat 80% discount: 5,000"
ham,Don't forget our class at 7 tomorrow.
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
spam,"Your KYC has expired. Update immediately at 50,000"
ham,I sent you the notes. Check WhatsApp.
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
ham,Did you submit the assignment?
spam,"Win a brand new smartphone! Register here: 50,000"
ham,Lunch at canteen at 2?
spam,"Your ATM card is blocked. Update details here: 50,000"
spam,"Your KYC has expired. Update immediately at 5,000"
ham,Are you coming to college today?
ham,Where are you now?
ham,Happy birthday! Have a great day 🎉
ham,I sent you the notes. Check WhatsApp.
spam,"Earn 10,000 per day working from home. Register at http://gift-claim-center.net"
spam,"Your KYC has expired. Update immediately at 5,000"
ham,Happy birthday! Have a great day 🎉
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://offer-today.xyz"
ham,Lunch at canteen at 11?
ham,Don't forget our class at 2 tomorrow.
ham,Can you share today's attendance code?
ham,Don't forget our class at 3 tomorrow.
spam,"Win a brand new smartphone! Register here: 5,000"
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
ham,Lunch at canteen at 10?
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://bit.ly/win-now"
ham,Did you submit the assignment?
ham,"I'm on the way, will reach in 1 minutes."
ham,Call me when you're free.
ham,Don't forget our class at 5 tomorrow.
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
ham,I sent you the notes. Check WhatsApp.
spam,"Your KYC has expired. Update immediately at 10,000"
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
ham,I sent you the notes. Check WhatsApp.
spam,"Win a brand new smartphone! Register here: 50,000"
ham,"I'm on the way, will reach in 2 minutes."
spam,"Claim your cashback of 10,000 rupees. Link: http://gift-claim-center.net"
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
ham,Can you share today's attendance code?
ham,Lunch at canteen at 3?
ham,Meeting is at 4 in room college gate.
spam,"Exclusive offer! Get flat 80% discount: 10,000"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://click-free-prize.com"
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://click-free-prize.com"
ham,I'll call you in 5 minutes.
ham,"Hey, I'll reach by 7 PM. Wait near canteen."
spam,"Claim your cashback of 50,000 rupees. Link: http://gift-claim-center.net"
ham,Send me the PPT for today's seminar.
ham,I sent you the notes. Check WhatsApp.
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
ham,Did you submit the assignment?
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
ham,Don't forget our class at 3 tomorrow.
spam,"Win a brand new smartphone! Register here: 50,000"
spam,"Your ATM card is blocked. Update details here: 10,000"
spam,"Exclusive offer! Get flat 80% discount: 50,000"
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
spam,"Win a brand new smartphone! Register here: 50,000"
ham,I'll call you in 11 minutes.
ham,Where are you now?
spam,"Your electricity bill is pending. Pay now: 5,000"
ham,Send me the PPT for today's seminar.
spam,"Your KYC has expired. Update immediately at 5,000"
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://bit.ly/win-now"
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://gift-claim-center.net"
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,Did you submit the assignment?
spam,"Congratulations! You have won 10,000 rupees. Click here: http://secure-verify.net"
ham,Call me when you're free.
ham,Don't forget our class at 3 tomorrow.
spam,"Claim your cashback of 10,000 rupees. Link: http://bit.ly/win-now"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://bit.ly/win-now"
spam,"Exclusive offer! Get flat 80% discount: 50,000"
ham,Where are you now?
ham,"Hey, I'll reach by 3 PM. Wait near library."
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://offer-today.xyz"
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,I'll call you in 3 minutes.
ham,Where are you now?
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://secure-verify.net"
spam,"Your KYC has expired. Update immediately at 5,000"
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
ham,"I'm on the way, will reach in 11 minutes."
spam,"Your electricity bill is pending. Pay now: 10,000"
spam,"Your KYC has expired. Update immediately at 10,000"
ham,Can you share today's attendance code?
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,Did you submit the assignment?
ham,"Bro, what time is the lab tomorrow?"
ham,"Bro, what time is the lab tomorrow?"
spam,"Your KYC has expired. Update immediately at 10,000"
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
ham,"I'm on the way, will reach in 10 minutes."
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
spam,"Your KYC has expired. Update immediately at 50,000"
ham,Meeting is at 9 in room college gate.
spam,"Win a brand new smartphone! Register here: 5,000"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://bit.ly/win-now"
ham,"Hey, I'll reach by 6 PM. Wait near college gate."
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Your KYC has expired. Update immediately at 5,000"
spam,"Your KYC has expired. Update immediately at 50,000"
ham,Did you submit the assignment?
spam,"Your ATM card is blocked. Update details here: 5,000"
ham,Meeting is at 11 in room lab.
ham,"Bro, what time is the lab tomorrow?"
ham,"Hey, I'll reach by 2 PM. Wait near library."
ham,Send me the PPT for today's seminar.
spam,"Your KYC has expired. Update immediately at 5,000"
spam,"Your KYC has expired. Update immediately at 10,000"
spam,"Claim your cashback of 50,000 rupees. Link: http://secure-verify.net"
ham,Happy birthday! Have a great day 🎉
spam,"Claim your cashback of 50,000 rupees. Link: http://click-free-prize.com"
ham,Lunch at canteen at 7?
spam,"Earn 1,00,000 per day working from home. Register at http://offer-today.xyz"
spam,"Exclusive offer! Get flat 80% discount: 5,000"
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,"I'm on the way, will reach in 4 minutes."
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"Your ATM card is blocked. Update details here: 50,000"
ham,Happy birthday! Have a great day 🎉
ham,Don't forget our class at 4 tomorrow.
ham,Are you coming to college today?
ham,"Bro, what time is the lab tomorrow?"
ham,"Hey, I'll reach by 11 PM. Wait near 101."
ham,Can you share today's attendance code?
ham,Where are you now?
spam,"Your KYC has expired. Update immediately at 5,000"
ham,"I'm on the way, will reach in 1 minutes."
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://offer-today.xyz"
spam,"Your ATM card is blocked. Update details here: 50,000"
ham,Don't forget our class at 1 tomorrow.
ham,"I'm on the way, will reach in 1 minutes."
spam,"Your electricity bill is pending. Pay now: 5,000"
ham,I'll call you in 3 minutes.
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,Don't forget our class at 8 tomorrow.
ham,Meeting is at 3 in room 305.
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"Earn 50,000 per day working from home. Register at http://click-free-prize.com"
ham,"Bro, what time is the lab tomorrow?"
spam,"Claim your cashback of 1,00,000 rupees. Link: http://secure-verify.net"
ham,"Hey, I'll reach by 9 PM. Wait near canteen."
spam,"Win a brand new smartphone! Register here: 50,000"
spam,"Your electricity bill is pending. Pay now: 10,000"
ham,Lunch at canteen at 8?
spam,"Your electricity bill is pending. Pay now: 50,000"
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
ham,Lunch at canteen at 8?
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
ham,Where are you now?
spam,"Congratulations! You have won 10,000 rupees. Click here: http://gift-claim-center.net"
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,Can you share today's attendance code?
ham,Don't forget our class at 7 tomorrow.
spam,"Earn 50,000 per day working from home. Register at http://offer-today.xyz"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"Your KYC has expired. Update immediately at 5,000"
spam,"Exclusive offer! Get flat 80% discount: 50,000"
ham,I'll call you in 11 minutes.
ham,Send me the PPT for today's seminar.
ham,"I'm on the way, will reach in 9 minutes."
spam,"Earn 1,00,000 per day working from home. Register at http://kyc-update-online.in"
spam,"Claim your cashback of 10,000 rupees. Link: http://gift-claim-center.net"
ham,I'll call you in 10 minutes.
ham,Meeting is at 4 in room hostel.
ham,Can you share today's attendance code?
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
ham,Are you coming to college today?
ham,Are you coming to college today?
spam,"Your KYC has expired. Update immediately at 50,000"
ham,I sent you the notes. Check WhatsApp.
ham,I'll call you in 2 minutes.
ham,Where are you now?
ham,Send me the PPT for today's seminar.
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
ham,"Bro, what time is the lab tomorrow?"
ham,Can you share today's attendance code?
ham,Call me when you're free.
ham,Are you coming to college today?
ham,I sent you the notes. Check WhatsApp.
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://offer-today.xyz"
spam,"Earn 10,000 per day working from home. Register at http://secure-verify.net"
ham,"Bro, what time is the lab tomorrow?"
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
spam,"Win a brand new smartphone! Register here: 5,000"
ham,Happy birthday! Have a great day 🎉
ham,Where are you now?
spam,"Earn 10,000 per day working from home. Register at http://secure-verify.net"
spam,"Congratulations! You have won 50,000 rupees. Click here: http://secure-verify.net"
ham,Where are you now?
spam,"Win a brand new smartphone! Register here: 5,000"
ham,Call me when you're free.
ham,Did you submit the assignment?
ham,"Hey, I'll reach by 2 PM. Wait near 201."
spam,"Exclusive offer! Get flat 80% discount: 10,000"
spam,"Claim your cashback of 10,000 rupees. Link: http://bit.ly/win-now"
spam,"Earn 10,000 per day working from home. Register at http://secure-verify.net"
ham,"Hey, I'll reach by 5 PM. Wait near C3."
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,Are you coming to college today?
ham,Can you share today's attendance code?
ham,Happy birthday! Have a great day 🎉
ham,Call me when you're free.
ham,Meeting is at 9 in room 101.
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://gift-claim-center.net"
ham,Meeting is at 10 in room library.
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://secure-verify.net"
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://kyc-update-online.in"
ham,"I'm on the way, will reach in 7 minutes."
spam,"Your KYC has expired. Update immediately at 5,000"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://offer-today.xyz"
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
ham,I sent you the notes. Check WhatsApp.
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
ham,I sent you the notes. Check WhatsApp.
ham,Can you share today's attendance code?
ham,Are you coming to college today?
spam,"Your electricity bill is pending. Pay now: 5,000"
ham,Happy birthday! Have a great day 🎉
spam,"Win a brand new smartphone! Register here: 5,000"
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
ham,I sent you the notes. Check WhatsApp.
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://kyc-update-online.in"
ham,Did you submit the assignment?
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
ham,Can you share today's attendance code?
spam,"Earn 10,000 per day working from home. Register at http://click-free-prize.com"
ham,Happy birthday! Have a great day 🎉
spam,"Your ATM card is blocked. Update details here: 10,000"
ham,Send me the PPT for today's seminar.
ham,Call me when you're free.
ham,Can you share today's attendance code?
spam,"Your electricity bill is pending. Pay now: 5,000"
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
ham,Lunch at canteen at 8?
spam,"Claim your cashback of 10,000 rupees. Link: http://offer-today.xyz"
ham,Lunch at canteen at 7?
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
ham,Did you submit the assignment?
ham,"Bro, what time is the lab tomorrow?"
spam,"Exclusive offer! Get flat 80% discount: 50,000"
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://bit.ly/win-now"
ham,Where are you now?
ham,Don't forget our class at 12 tomorrow.
ham,"I'm on the way, will reach in 8 minutes."
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://bit.ly/win-now"
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,Can you share today's attendance code?
ham,Can you share today's attendance code?
ham,"I'm on the way, will reach in 8 minutes."
ham,Call me when you're free.
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
ham,"Bro, what time is the lab tomorrow?"
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
ham,"Hey, I'll reach by 9 PM. Wait near canteen."
ham,Lunch at canteen at 12?
ham,Send me the PPT for today's seminar.
ham,Meeting is at 3 in room 201.
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://bit.ly/win-now"
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://click-free-prize.com"
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://bit.ly/win-now"
ham,I'll call you in 11 minutes.
ham,I sent you the notes. Check WhatsApp.
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://bit.ly/win-now"
ham,"Hey, I'll reach by 11 PM. Wait near 305."
spam,"Win a brand new smartphone! Register here: 5,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
spam,"Claim your cashback of 10,000 rupees. Link: http://offer-today.xyz"
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://offer-today.xyz"
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
spam,"Your electricity bill is pending. Pay now: 50,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
spam,"Earn 50,000 per day working from home. Register at http://offer-today.xyz"
ham,Can you share today's attendance code?
spam,"Your electricity bill is pending. Pay now: 10,000"
ham,I sent you the notes. Check WhatsApp.
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
spam,"Your electricity bill is pending. Pay now: 5,000"
spam,"Earn 1,00,000 per day working from home. Register at http://click-free-prize.com"
ham,Send me the PPT for today's seminar.
ham,Are you coming to college today?
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://bit.ly/win-now"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
spam,"Claim your cashback of 50,000 rupees. Link: http://gift-claim-center.net"
spam,"Claim your cashback of 10,000 rupees. Link: http://gift-claim-center.net"
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://kyc-update-online.in"
ham,Did you submit the assignment?
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,Meeting is at 4 in room C3.
spam,"Your KYC has expired. Update immediately at 50,000"
ham,Did you submit the assignment?
ham,"Hey, I'll reach by 6 PM. Wait near 305."
ham,Don't forget our class at 1 tomorrow.
spam,"Your ATM card is blocked. Update details here: 10,000"
spam,"Your KYC has expired. Update immediately at 50,000"
ham,"Hey, I'll reach by 8 PM. Wait near B12."
ham,Happy birthday! Have a great day 🎉
ham,Where are you now?
spam,"Your ATM card is blocked. Update details here: 50,000"
ham,Can you share today's attendance code?
ham,Happy birthday! Have a great day 🎉
ham,Lunch at canteen at 11?
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
ham,I'll call you in 5 minutes.
ham,Don't forget our class at 6 tomorrow.
ham,"Hey, I'll reach by 4 PM. Wait near B12."
spam,"Your electricity bill is pending. Pay now: 10,000"
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
ham,Where are you now?
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://secure-verify.net"
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,Happy birthday! Have a great day 🎉
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://gift-claim-center.net"
ham,Don't forget our class at 5 tomorrow.
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
ham,Don't forget our class at 12 tomorrow.
spam,"Earn 10,000 per day working from home. Register at http://secure-verify.net"
ham,Did you submit the assignment?
spam,"Your ATM card is blocked. Update details here: 50,000"
spam,"Your KYC has expired. Update immediately at 5,000"
ham,Did you submit the assignment?
ham,Did you submit the assignment?
ham,Meeting is at 1 in room C3.
ham,Call me when you're free.
spam,"Your electricity bill is pending. Pay now: 50,000"
ham,Can you share today's attendance code?
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://secure-verify.net"
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,I'll call you in 9 minutes.
ham,Are you coming to college today?
spam,"Your ATM card is blocked. Update details here: 50,000"
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
spam,"Win a brand new smartphone! Register here: 10,000"
ham,Meeting is at 10 in room lab.
ham,Call me when you're free.
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
spam,"Earn 10,000 per day working from home. Register at http://secure-verify.net"
ham,Are you coming to college today?
spam,"Your ATM card is blocked. Update details here: 10,000"
ham,I sent you the notes. Check WhatsApp.
ham,Can you share today's attendance code?
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://offer-today.xyz"
ham,Meeting is at 1 in room 201.
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
ham,"I'm on the way, will reach in 9 minutes."
ham,Where are you now?
ham,Don't forget our class at 7 tomorrow.
ham,Where are you now?
ham,Where are you now?
ham,Send me the PPT for today's seminar.
ham,I'll call you in 4 minutes.
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
spam,"Earn 10,000 per day working from home. Register at http://offer-today.xyz"
ham,Lunch at canteen at 5?
ham,Can you share today's attendance code?
spam,"Your electricity bill is pending. Pay now: 50,000"
spam,"Your KYC has expired. Update immediately at 5,000"
ham,Where are you now?
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
ham,"I'm on the way, will reach in 10 minutes."
ham,Where are you now?
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://secure-verify.net"
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://secure-verify.net"
ham,Did you submit the assignment?
spam,"Your ATM card is blocked. Update details here: 5,000"
ham,Happy birthday! Have a great day 🎉
ham,I sent you the notes. Check WhatsApp.
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,I'll call you in 9 minutes.
ham,Lunch at canteen at 9?
ham,"Hey, I'll reach by 6 PM. Wait near C3."
spam,"Your ATM card is blocked. Update details here: 5,000"
spam,"Claim your cashback of 10,000 rupees. Link: http://secure-verify.net"
ham,Are you coming to college today?
ham,Can you share today's attendance code?
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
ham,"Hey, I'll reach by 2 PM. Wait near C3."
ham,Call me when you're free.
spam,"Exclusive offer! Get flat 80% discount: 5,000"
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
spam,"Your electricity bill is pending. Pay now: 10,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
ham,Can you share today's attendance code?
ham,"Hey, I'll reach by 8 PM. Wait near 201."
ham,Meeting is at 6 in room B12.
ham,Happy birthday! Have a great day 🎉
spam,"Win a brand new smartphone! Register here: 50,000"
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://offer-today.xyz"
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
spam,"Earn 1,00,000 per day working from home. Register at http://click-free-prize.com"
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,I sent you the notes. Check WhatsApp.
ham,Call me when you're free.
ham,Where are you now?
spam,"Your electricity bill is pending. Pay now: 10,000"
ham,Did you submit the assignment?
spam,"Earn 50,000 per day working from home. Register at http://gift-claim-center.net"
ham,Call me when you're free.
ham,"I'm on the way, will reach in 11 minutes."
spam,"Your electricity bill is pending. Pay now: 5,000"
ham,"Bro, what time is the lab tomorrow?"
ham,Meeting is at 9 in room college gate.
ham,Did you submit the assignment?
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,Where are you now?
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
spam,"Your ATM card is blocked. Update details here: 50,000"
ham,"Bro, what time is the lab tomorrow?"
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://offer-today.xyz"
spam,"Your ATM card is blocked. Update details here: 5,000"
ham,Can you share today's attendance code?
spam,"Claim your cashback of 10,000 rupees. Link: http://click-free-prize.com"
ham,I sent you the notes. Check WhatsApp.
ham,Can you share today's attendance code?
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://click-free-prize.com"
ham,Don't forget our class at 9 tomorrow.
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
ham,"I'm on the way, will reach in 9 minutes."
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
ham,Can you share today's attendance code?
spam,"Exclusive offer! Get flat 80% discount: 50,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
spam,"Claim your cashback of 1,00,000 rupees. Link: http://kyc-update-online.in"
ham,"I'm on the way, will reach in 11 minutes."
ham,Where are you now?
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
ham,"I'm on the way, will reach in 10 minutes."
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
spam,"Your KYC has expired. Update immediately at 5,000"
ham,Call me when you're free.
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
ham,"I'm on the way, will reach in 7 minutes."
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
ham,Happy birthday! Have a great day 🎉
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://bit.ly/win-now"
ham,I'll call you in 5 minutes.
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://secure-verify.net"
ham,Don't forget our class at 12 tomorrow.
ham,Send me the PPT for today's seminar.
ham,Are you coming to college today?
ham,"Bro, what time is the lab tomorrow?"
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
ham,"I'm on the way, will reach in 9 minutes."
spam,"Earn 1,00,000 per day working from home. Register at http://offer-today.xyz"
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://secure-verify.net"
ham,Are you coming to college today?
ham,I'll call you in 1 minutes.
ham,Don't forget our class at 2 tomorrow.
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
ham,Are you coming to college today?
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://gift-claim-center.net"
spam,"Earn 10,000 per day working from home. Register at http://bit.ly/win-now"
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,Are you coming to college today?
ham,Where are you now?
ham,Happy birthday! Have a great day 🎉
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
ham,Don't forget our class at 3 tomorrow.
ham,Are you coming to college today?
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
ham,"Bro, what time is the lab tomorrow?"
ham,Did you submit the assignment?
spam,"Earn 1,00,000 per day working from home. Register at http://click-free-prize.com"
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://bit.ly/win-now"
ham,Did you submit the assignment?
spam,"Your electricity bill is pending. Pay now: 50,000"
spam,"Exclusive offer! Get flat 80% discount: 50,000"
ham,Don't forget our class at 11 tomorrow.
ham,Send me the PPT for today's seminar.
spam,"Exclusive offer! Get flat 80% discount: 5,000"
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
ham,"Bro, what time is the lab tomorrow?"
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
ham,Are you coming to college today?
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
ham,Are you coming to college today?
ham,I'll call you in 1 minutes.
ham,Can you share today's attendance code?
ham,I'll call you in 3 minutes.
ham,Happy birthday! Have a great day 🎉
ham,"I'm on the way, will reach in 7 minutes."
ham,Call me when you're free.
spam,"Claim your cashback of 1,00,000 rupees. Link: http://secure-verify.net"
spam,"Earn 10,000 per day working from home. Register at http://offer-today.xyz"
ham,Happy birthday! Have a great day 🎉
ham,I'll call you in 9 minutes.
ham,"Hey, I'll reach by 6 PM. Wait near 201."
ham,Happy birthday! Have a great day 🎉
spam,"Win a brand new smartphone! Register here: 10,000"
ham,Send me the PPT for today's seminar.
ham,Call me when you're free.
spam,"Win a brand new smartphone! Register here: 5,000"
ham,"Hey, I'll reach by 8 PM. Wait near library."
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
ham,Meeting is at 6 in room library.
spam,"Exclusive offer! Get flat 80% discount: 10,000"
spam,"Your KYC has expired. Update immediately at 10,000"
ham,"Hey, I'll reach by 10 PM. Wait near lab."
ham,Call me when you're free.
spam,"Earn 1,00,000 per day working from home. Register at http://offer-today.xyz"
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://click-free-prize.com"
spam,"Your KYC has expired. Update immediately at 10,000"
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://bit.ly/win-now"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://bit.ly/win-now"
spam,"Win a brand new smartphone! Register here: 5,000"
ham,Where are you now?
spam,"Congratulations! You have won 50,000 rupees. Click here: http://kyc-update-online.in"
ham,Did you submit the assignment?
spam,"Win a brand new smartphone! Register here: 10,000"
ham,Call me when you're free.
ham,Send me the PPT for today's seminar.
ham,Meeting is at 8 in room hostel.
spam,"Your KYC has expired. Update immediately at 10,000"
ham,Happy birthday! Have a great day 🎉
ham,Send me the PPT for today's seminar.
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,Happy birthday! Have a great day 🎉
